longitude,latitude,nearest_college_school_university_kindergarten_1,nearest_college_school_university_kindergarten_2,nearest_college_school_university_kindergarten_3,nearest_college_school_university_kindergarten_4,nearest_college_school_university_kindergarten_5,count_college_school_university_kindergarten_within_5.0km,ndvi,fapar,ndbi,aerosol,dengue,dengue symptoms,dengue fever,symptoms of dengue,dengue sintomas,final_vul_labels
121.02879652359928,14.631367294229152,1030.9000244140625,1102.8349609375,1108.6070556640625,1211.6199951171875,1223.4110107421875,99.0,0.0988681411088696,0.0,-0.0003724540896405,96.0,20,5,4,2,2,1
121.12602062450182,14.645438493895067,930.4219970703124,1069.8740234375,1079.239013671875,1100.68701171875,1243.447021484375,39.0,0.1809384388509641,0.0439813953488372,-0.0383449462252702,96.0,20,5,4,2,2,1
121.07289845139496,14.63128209209908,600.0679931640625,600.0679931640625,634.6699829101562,740.5809936523438,866.5889892578125,86.0,0.1356006348872716,0.0,-0.0194274673890583,95.04458598726116,20,5,4,2,2,1
121.09507912653244,14.647839140252414,454.9119873046875,897.4760131835938,901.905029296875,1233.177978515625,1413.031982421875,54.0,0.1185883151068271,0.0,0.001512451558524,95.65779467680608,20,5,4,2,2,1
121.06173058199506,14.620624669519149,443.9179992675781,503.8280029296875,645.6859741210938,668.8259887695312,716.9539794921875,88.0,0.0969490380718122,0.0,0.0109665932060423,94.1818181818182,20,5,4,2,2,1
121.06386654681818,14.767656042114725,612.60302734375,653.2260131835938,679.9990234375,1611.8809814453125,1672.823974609375,19.0,0.1768083325795109,0.04,-0.0303446859549844,112.9521410579345,20,5,4,2,2,1
121.008365911395,14.637878600590613,862.0159912109375,962.8759765625,1145.010986328125,1243.720947265625,1303.051025390625,79.0,0.081661470043926,0.0,0.0157164994912031,91.16624040920716,20,5,4,2,2,1
120.9977482264899,14.604577700273246,149.4810028076172,283.6990051269531,585.2760009765625,649.572998046875,687.5980224609375,52.0,0.0711629158075169,0.0,0.0260369633707511,93.83544303797468,20,5,4,2,2,1
120.9984175181956,14.62044921981122,53.39699935913086,644.155029296875,693.4409790039062,763.0440063476562,809.3759765625,61.0,0.0681323005148298,0.0,0.0260828094542089,96.0,20,5,4,2,2,1
121.01601754442387,14.631319953092325,278.0429992675781,364.9169921875,494.3349914550781,748.447998046875,961.4910278320312,100.0,0.0946878363364369,0.0,0.0075302083872151,86.29187817258881,20,5,4,2,2,1
121.01093857731342,14.685695694267212,176.45899963378906,940.0159912109376,1254.8050537109375,1324.6839599609375,1573.592041015625,55.0,0.1336716823405035,0.0,-0.0056037910689314,86.3409090909091,20,5,4,2,2,1
121.0123851086203,14.603986707052094,494.1860046386719,667.0349731445312,669.2880249023438,856.7949829101562,983.780029296875,60.0,0.0818068325193815,0.0,0.0168898071110617,86.20486555697823,20,5,4,2,2,1
121.06843988020738,14.652663924734972,800.6710205078125,826.8359985351562,948.5889892578124,1188.0260009765625,1251.8199462890625,79.0,0.1959446034880105,0.0,-0.0437828920545674,93.4492385786802,20,5,4,2,2,1
121.00339718149012,14.605850224090808,399.1440124511719,775.2169799804688,940.7579956054688,1079.8929443359375,1080.3179931640625,58.0,0.0718186383423959,0.0,0.0272466211487269,93.32824427480918,20,5,4,2,2,1
121.11869583350308,14.660695004862005,520.6290283203125,653.0469970703125,669.593017578125,770.47802734375,1331.6490478515625,36.0,0.1519598351188175,0.0,-0.0118931020656123,86.3530895334174,20,5,4,2,2,1
121.07179910312574,14.622117657282828,62.95199966430664,544.9719848632812,921.0659790039062,1009.2150268554688,1049.52099609375,80.0,0.1096416818815572,0.0,-0.0037231005563366,96.0,20,5,4,2,2,1
121.07471761133024,14.633580213200924,623.7030029296875,623.7030029296875,629.60302734375,629.60302734375,828.2550048828125,85.0,0.1507473009215532,0.0,-0.0269373718973474,95.84732824427482,20,5,4,2,2,1
121.02812311939904,14.621582894538316,106.16799926757812,553.3709716796875,828.3920288085938,1497.2349853515625,1533.4730224609375,111.0,0.1178250367358194,0.0,-0.0100861138747726,96.0,20,5,4,2,2,1
121.08026400220852,14.676343453420278,226.2400054931641,261.4140014648437,261.4140014648437,418.7120056152344,422.16900634765625,51.0,0.1555415779271201,0.0,-0.0256402492408564,95.0909090909091,20,5,4,2,2,1
121.05881468351778,14.666038291511626,347.52099609375,503.72900390625,546.1510009765625,1790.282958984375,1963.2950439453125,57.0,0.1551664691052092,0.0,-0.027750059239853,93.92929292929291,20,5,4,2,2,1
121.0467450041547,14.7495124851253,629.1510009765625,783.3590087890625,956.4810180664062,1013.9390258789062,1554.4439697265625,37.0,0.1415293323525825,0.0,-0.0154529501676939,112.58659924146647,20,5,4,2,2,1
121.08423577670452,14.604916994245082,0.0,706.593994140625,807.8800048828125,1087.5999755859375,1553.2340087890625,51.0,0.0930961652209164,0.0,-0.0054491932166252,86.5044136191677,20,5,4,2,2,1
121.00408451845226,14.613284735389657,227.16099548339844,681.4669799804688,792.3250122070312,1160.8489990234375,1230.4520263671875,71.0,0.072764369922764,0.0,0.0259167463227801,95.50757575757576,20,5,4,2,2,1
121.03021579154684,14.661759905132335,245.9080047607422,374.6449890136719,658.9849853515625,993.0020141601562,1047.5050048828125,87.0,0.0926468751257467,0.0,0.0108347062243805,96.0,20,5,4,2,2,1
121.04471091543074,14.750154927123956,172.25799560546875,760.885009765625,1261.14404296875,1318.60205078125,1513.9429931640625,38.0,0.1424164513678434,0.0,-0.0154520432480679,116.38578680203042,20,5,4,2,2,1
121.01608899112924,14.653158806261112,758.5280151367188,769.3350219726562,964.27001953125,976.3419799804688,1177.029052734375,81.0,0.0815615059890157,0.0,0.0220886878133353,88.28247162673391,20,5,4,2,2,1
121.11159888156344,14.66216847415746,578.7940063476562,727.7579956054688,995.0800170898438,1255.676025390625,1373.1070556640625,39.0,0.1118911734430929,0.0,-0.0027044117816553,109.75255102040812,12,3,3,2,1,1
121.0499885978804,14.627311330247776,218.98399353027344,551.7119750976562,601.2659912109375,787.3920288085938,814.239013671875,102.0,0.0853333340429917,0.0,0.0124156409602734,88.73644388398489,12,3,3,2,1,1
121.05599946226351,14.715157521686011,764.9359741210938,864.0040283203125,1020.5159912109376,1149.3699951171875,1443.552001953125,51.0,0.1350177977594475,0.035,-0.0052794648154477,86.25477707006368,12,3,3,2,1,1
121.04924144554496,14.70826061348122,746.56298828125,827.1329956054688,1167.258056640625,1284.4429931640625,1553.3929443359375,50.0,0.1074484606691152,0.0,-0.0017508510373661,89.1800766283525,12,3,3,2,1,1
121.03363788586132,14.593164704234251,376.6960144042969,511.66400146484375,765.9249877929688,851.4219970703125,1224.781982421875,49.0,0.0894252003613025,0.0,-0.0006059254269949,96.0,12,3,3,2,1,1
121.00098316962418,14.604332540912829,640.14599609375,668.4810180664062,691.85400390625,796.6170043945312,882.927001953125,56.0,0.0531869475087749,0.0,0.0139301462605612,89.93939393939392,12,3,3,2,1,1
